Company Name,Lead Partner,Primary Investor Type,Primary Industry Sector
Hub2,Eric Barbier,Angel (individual),Information Technology
Hub2,Olumide Ashade,Venture Capital,Information Technology
Nutropy,Pjotr van Schothorst,Angel (individual),Consumer Products and Services (B2C)
Wegrow,Borja Breña,Venture Capital,Information Technology
Illumo Robotics,Jorge Dobón,Venture Capital,Information Technology
Sekai,Adrien Montfort,Angel (individual),Information Technology
Sekai,Alexandre Yazdi,Angel (individual),Information Technology
Sekai,Alexis Ohanian,Angel (individual),Information Technology
Sekai,Aurélien Cotentin,Angel (individual),Information Technology
Sekai,Laurent Ritter,Angel (individual),Information Technology
Sekai,Mike Shinoda,Angel (individual),Information Technology
Sekai,Nicolas Julia,Angel (individual),Information Technology
Sekai,Randal Muani,Angel (individual),Information Technology
Sekai,Rudy Gobert-Bourgarel,Angel (individual),Information Technology
Cellaven,Marc Blondet,Venture Capital,Healthcare
Polar Analytics,Christoph Janz,Venture Capital,Information Technology
Batiment Chimie Appliquee,Adrien Bué,Angel (individual),Business Products and Services (B2B)
Batiment Chimie Appliquee,Olivier Dobraje,Angel (individual),Business Products and Services (B2B)
Meddenovo Drug Design,Gökhan Güner,Venture Capital,Healthcare
Exo (Social/Platform Software),Oliver Jaubert,Angel (individual),Information Technology
Exo (Social/Platform Software),Zakaria Mansour,Angel (individual),Information Technology
Olyzon,Benjamin Antier,Angel (individual),Business Products and Services (B2B)
Olyzon,Guillaume Grimbert,Angel (individual),Business Products and Services (B2B)
Olyzon,Ionut Ciobotaru,Angel (individual),Business Products and Services (B2B)
Olyzon,Julien Hirth,Angel (individual),Business Products and Services (B2B)
Olyzon,Rémi Lemonnier,Angel (individual),Business Products and Services (B2B)
Olyzon,Romain Job,Angel (individual),Business Products and Services (B2B)
Olyzon,Simon Dawlat,Angel (individual),Business Products and Services (B2B)
Olyzon,Stéphane Distinguin,Angel (individual),Business Products and Services (B2B)
Skynopy,Yohan Pereira,Venture Capital,Information Technology
Skynopy,Thibaud Elziere,Angel (individual),Information Technology
Cintoo,Omri Benayoun,Venture Capital,Information Technology
Inside Therapeutics,Anne-Sophie Saint-Martin,Venture Capital,Business Products and Services (B2B)
Wineriz,Emmanuel Arnaud,Angel (individual),Information Technology
Wineriz,Nathanael Berbessou,Angel (individual),Information Technology
Jerome Dreyfuss,Thomas Riccobono,Venture Capital,Consumer Products and Services (B2C)
Spiko,Adrien Montfort,Angel (individual),Information Technology
Spiko,Frédéric Montagnon,Angel (individual),Information Technology
Spiko,Jean-Charles Samuelian-Werve,Angel (individual),Information Technology
Spiko,Nicolas Bacca,Angel (individual),Information Technology
Spiko,Valentine Baudouin,Angel (individual),Information Technology
Mistral AI_,Jeff Silverstein,Venture Capital,Information Technology
Mistral AI_,Jeannette Fürstenberg,Venture Capital,Information Technology
Mistral AI_,Paul Copplestone,Angel (individual),Information Technology
FeetMe,Cyril Ebersweiler,Venture Capital,Healthcare
Materrup,Thierry Letailleur,Venture Capital,Materials and Resources
Descartes & Mauss,Alexis Frentz,Venture Capital,Information Technology
Descartes & Mauss,Cecile Tharaud,Venture Capital,Information Technology
Imagino,Bruno Delahaye,Venture Capital,Information Technology
Imagino,Jan Andriessen,Venture Capital,Information Technology
TurnK,Francis Nappez,Angel (individual),Information Technology
Trendex,Karim Benzema,Angel (individual),Information Technology
Belledonne Paris,Arnaud Régent,Angel (individual),Consumer Products and Services (B2C)
Belledonne Paris,Michael Dayan,Angel (individual),Consumer Products and Services (B2C)
Belledonne Paris,Olivier Hergault,Angel (individual),Consumer Products and Services (B2C)
Belledonne Paris,Sebastien Borget,Angel (individual),Consumer Products and Services (B2C)
NcodiN,Frédéric du Bois-Reymond,Venture Capital,Information Technology
NcodiN,Clement Vanden Driessche,Venture Capital,Information Technology
Vizcab,Hideyuki Tanaka,Venture Capital,Information Technology
Vizcab,Andreas Winter-Extra,Venture Capital,Information Technology
Vizcab,Jerome Constant,Venture Capital,Information Technology
UroMems,Jerome Feraud,Venture Capital,Healthcare
UroMems,Celia Hart,Venture Capital,Healthcare
UroMems,Johannes Fischer,Venture Capital,Healthcare
Cross The Ages,Sebastian Borget,Angel (individual),Information Technology
Hylé,Batu X,Angel (individual),Financial Services
Hylé,David Robinson,Angel (individual),Financial Services
Hylé,Nicolas Bacca,Angel (individual),Financial Services
Hylé,Richard Yuengling,Angel (individual),Financial Services
Hylé,Uma Roy,Angel (individual),Financial Services
Oligofeed,Frédéric Banzet,Angel (individual),Business Products and Services (B2B)
Oligofeed,Frederick Robertson,Angel (individual),Business Products and Services (B2B)
Zest (Business/Productivity Software),Alain Dehaze,Angel (individual),Information Technology
Infinite Orbits,Salim Hassad,Venture Capital,Information Technology
May Health,Antoine Papiernik,Venture Capital,Healthcare
inHEART,Samantha Jérusalmy,Venture Capital,Healthcare
inHEART,Jean-Christophe Renondin,Venture Capital,Healthcare
Morpho,Lauren Stephanian,Venture Capital,Information Technology
Carbonfact,Bartosz Jakubowski,Venture Capital,Information Technology
Carbonfact,Jonathan Userovici,Venture Capital,Information Technology
Omi (Multimedia and Design Software),Alexis Bonillo,Angel (individual),Information Technology
Omi (Multimedia and Design Software),Daniel Chaplin,Venture Capital,Information Technology
Omi (Multimedia and Design Software),Marc Menasé,Venture Capital,Information Technology
Omi (Multimedia and Design Software),Guillaume Houze,Angel (individual),Information Technology
Omi (Multimedia and Design Software),Laurent Ritter,Angel (individual),Information Technology
Omi (Multimedia and Design Software),Paul Robson,Angel (individual),Information Technology
Paradigme,Edouard Nattée,Angel (individual),Consumer Products and Services (B2C)
Paradigme,Fabrice Lepine,Angel (individual),Consumer Products and Services (B2C)
Paradigme,Frédéric Maus,Angel (individual),Consumer Products and Services (B2C)
Paradigme,Grégoire Baudry,Angel (individual),Consumer Products and Services (B2C)
Paradigme,Illan Benhaim,Angel (individual),Consumer Products and Services (B2C)
Paradigme,Marine de Waziers,Angel (individual),Consumer Products and Services (B2C)
Paradigme,Vanessa Proust,Angel (individual),Consumer Products and Services (B2C)
Pixacare,Céline Passedouet,Venture Capital,Healthcare
United Visual Researchers,Frederic Le Brun,Venture Capital,Information Technology
BforeAI,Enrico Raggini,Venture Capital,Information Technology
BforeAI,Emmanuel Daugeras,Venture Capital,Information Technology
BforeAI,Kristjan Laanemaa,Venture Capital,Information Technology
BforeAI,Jay Leek,Venture Capital,Information Technology
RockFi,Antoine Freysz,Angel (individual),Financial Services
Upflow (Financial Software),Didier Valet,Angel (individual),Information Technology
Upflow (Financial Software),Nicholas Wijnberg,Venture Capital,Information Technology
Upflow (Financial Software),Maximilian Tayenthal,Angel (individual),Information Technology
Upflow (Financial Software),Nathaniel Matherson,Angel (individual),Information Technology
Upflow (Financial Software),Pierre-Dimitri Gore-Coty,Angel (individual),Information Technology
Upflow (Financial Software),Raffael Johnen,Angel (individual),Information Technology
Payflows,Rana Yared,Venture Capital,Information Technology
Payflows,Jonathan Userovici,Venture Capital,Information Technology
Zefir,George Robson,Venture Capital,Consumer Products and Services (B2C)
Zefir,Fred Destin,Venture Capital,Consumer Products and Services (B2C)
Ascendance,Thierry Tea,Venture Capital,Business Products and Services (B2B)
Ascendance,Adrien Montfort,Venture Capital,Business Products and Services (B2B)
Usual Labs,Eli Eli,Angel (individual),Financial Services
Usual Labs,Jocy Lin,Venture Capital,Financial Services
Usual Labs,Jordi Alexander,Angel (individual),Financial Services
Usual Labs,Rand Hindi,Angel (individual),Financial Services
Usual Labs,Sebastien Couture,Angel (individual),Financial Services
Usual Labs,Spencer Noon,Angel (individual),Financial Services
HyLight,Abhishek Tripathi,Angel (individual),Business Products and Services (B2B)
HyLight,Marc Tarpenning,Angel (individual),Business Products and Services (B2B)
